Star_name,Distance,Mass,Radius
Pollux,33.78±0.09[1],1.91 ± 0.09 [3],9.06 ± 0.03[3]
Arcturus,36.7±0.2[1],1.08 ± 0.06 [6],25.4 ± 0.2 [6]
Delta Capricorni Aa (Deneb Algedi),38.69[7][a],2[9],1.91[9]
Capella Aa,42.919±0.049[10],2.5687[10],11.98 ± 0.57[10]
Capella Ab,G1III[14],0.16[12],2.4828[10]
Gamma Cephei A (Errai),44.96[15][b],1.294 ± 0.081[16],4.93 ± 0.04[3]
Beta Cassiopeiae (Caph),54.7±0.3[1],1.91 ± 0.02[19],3.69 × 3.43[19]
Theta Centauri (Menkent),58.8±0.2[1],1.27[23],10.6[c]
Eta Serpentis,60.5±0.2[1],2[27],5.897 ± 0.028[26]
Alpha Trianguli (Mothallah),63.3±0.3[1],1.7[30],3.22[30]
Rho Puppis (Tureis),63.5±0.2[1],1.85[33],3.41[32]
Epsilon Scorpii (Larawag),63.7±0.3[1],1.24[37],12.6[d]
Nu2 Canis Majoris,64.4±0.3[40],1.3 ± 0.1[42],4.9 ± 0.1[42]
Aldebaran,65.3±1[44],1.16 ± 0.07[47],45.1 ± 0.1[46]
Hamal,65.8±0.3[1],1.5 ± 0.2[51],14.9 ± 0.3[50]
Nu Octantis,69.1[1],1.61[53],5.81 ± 0.12[53]
Alpha Serpentis (Unukalhai),73.92±0.3[55][e],1.66[56],13.48[56]
Epsilon Cygni (Aljanah),75.5[57][f],~2[58],10.82 ± 0.14[50]
Lambda Sagittarii (Kaus Borealis),78.2±0.3[1],2.6[27],12.692 ± 0.181[61]
Beta Ophiuchi (Cebalrai),81.8±0.3[1],1.13[65],12.42 ± 0.13[64]
Alioth,82.51[66][g],2.91[68],4.14[67]
Alpha Phoenicis (Ankaa),85[1],1.57[70],15[h]
Gamma Boötis Aa (Seginus),86.8±0.3[1],2.1[73],5.16+0.71−0.96[40]
Beta Columbae (Wazn),87.2±0.3[1],1.1 ± 0.2[76],11.5[i]
Gacrux,88.6±0.4[1],1.5 ± 0.3[79],120[78]
Beta Eridani (Cursa),90±0.9[1],2[82],2.4[82]
Kappa Ophiuchi,91.5±0.5[1],1.19 ± 0.14[76],11[84]
Eta Draconis,92.1±0.2[1],2.55[87],11[j]
Chi Leonis,94.6±0.5[1],1.62[90],1.99[89]
46 Leonis Minoris (Praecipua),94.9±0.6[1],1.69[93],8.22 ± 0.22[50]
Beta Ceti (Diphda),96.3±0.5[1],2.8[96],16.78 ± 0.25[64]
Gamma2 Sagittarii (Alnasl),96.82[97][k],,12[98]
Delta Draconis (Altais),97.4±0.3[1],2.32[87],11[l]
Alpha Indi,98.3±0.5[1],2[102],12[98]
54 Piscium,36.1,53,0.7987
81 Cancri,66,,
AB Pictoris,66.6,13.5,
CD−33°7795,163.08,20,
CT Chamaeleontis,538,17,2.2
Eta Coronae Borealis,58.3,63,
G 196-3,50.2,25,
GD 165,103,,
Gliese 570,19.0,52,
GU Piscium,155.3,11,
HD 89744,126.2,,
HD 100546,337.25,20,
HN Pegasi,58.3,28,1.01
LHS 4040 [es],,,
UScoCTIO 108,473,14,
WD 0137-349,330,53,
HD 41004 B,139,18.4,
CoRoT-15,,63.4,1.12
Xi Ursae Majoris B,25.11,37,
Upsilon Andromedae,43.9,13.98,
Gliese 758,51.9,23,
HD 112758,53.81,35,
BD−04°782,66.6,21,
HD 110833,55.44,17,
HD 89707,81.54,54,
Tau Geminorum,302,18.1,
HAT-P-13,698,15.2,
HD 217580,58.7,60,
HD 16760,163,14.3,
HD 13189,603.4,14,
HD 18445,83.92,39,
HD 8673,124.75,14,
NGC 4349-127,7097,19.8,
Gliese 569,31.5,116[6],
HD 29587,146.77,40,
ChaHα8,522,18,
CoRoT-20,4000,17,
HD 168443,123.5,34,
HD 38529 A,138,37,
Epsilon Indi,11.8,28,
HW Virginis,590,19.23,
DT Virginis,37.55,12.5,1.1
HD 4113,136,60,
Gliese 229,19,40,
TYC 9486-927-1,111,13.3 (± 1.7)  MJ,
Epsilon Indi,11.8,47,
HD 131664,180.8,18.15,
HD 136118,171,42,
HD 140913,156.42,46,
GQ Lupi b,400,1-42,1.8
HD 162020,101.95,15.0,
Nu Ophiuchi,152.8,21.9,
HD 164427,127.52,46,
SCR 1845-6357,12.57,40-50,
COROT-3,2220,21.66,1.01
V921 Scorpii[8],4833,60,
15 Sagittae,57.7,65,
Zeta Delphini,220,55,
HD 202206,151.14,17.4,
